month_date,avg_nvda_close,total_nvda_volume,avg_amd_close,total_amd_volume
2022-11-01,15.3,10600603000.0,69.61,1681532600.0
2022-12-01,16.2,8946152000.0,68.09,1149724900.0
2023-01-01,17.26,9454960000.0,70.27,1081467000.0
2023-02-01,22.02,10393479000.0,82.07,1145820100.0
2023-03-01,25.09,11263731000.0,90.47,1656082900.0
2023-04-01,27.13,7436450000.0,90.81,895569200.0
2023-05-01,31.04,11697819000.0,102.22,1763501900.0
2023-06-01,40.9,10527050000.0,117.79,1542984600.0
2023-07-01,44.74,8706845000.0,113.69,1141976800.0
2023-08-01,45.23,13632152000.0,108.82,1571438600.0
2023-09-01,44.3,8579273000.0,103.11,1044490600.0
2023-10-01,43.61,10141101000.0,102.56,1160990100.0
2023-11-01,47.51,9144618000.0,117.59,1116347700.0
2023-12-01,48.05,7411887000.0,134.97,1280195500.0
2024-01-01,56.24,9706237000.0,158.71,1956510100.0
2024-02-01,72.52,11077899000.0,174.36,1271419300.0
2024-03-01,89.41,12149218000.0,192.16,1528117700.0
2024-04-01,85.68,10074181000.0,162.84,1243116700.0
2024-05-01,96.19,9647971000.0,158.79,1119411100.0
2024-06-01,124.56,7442539100.0,161.01,959157900.0
2024-07-01,121.88,6405438600.0,160.94,1243397700.0
2024-08-01,117.09,8105367800.0,143.68,1101975100.0
2024-09-01,115.03,6272211000.0,151.12,659948700.0
2024-10-01,134.3,5627917200.0,160.17,900788500.0
2024-11-01,142.49,4498075300.0,140.76,611536700.0
